"sub.id" "sub.lbl" "run1_1.2.3" "run2_6.3.9" "run3_3.1.3" "run4_2.4.1"
"1" "sub-01" "e152003" 7.90040869999211 8.32898360001855 7.92936449998524 8.19524369999999
"2" "sub-02" "e152004" 8.85636370000429 8.90962579997722 8.31356340000639 8.564747299999
"3" "sub-03" "e152007" 9.79596080002375 10.1097215999616 9.52123200002825 9.8756657000049
"4" "sub-04" "e152008" 9.76652309997007 10.0144148999825 9.37537449994124 9.68005269998685
"5" "sub-05" "e152009" 10.225592199713 10.0701097999699 9.58510479982942 9.92373479995877
"6" "sub-06" "e152010" 9.36192680010572 9.83982780016959 9.39353469992056 9.64384819986299
"7" "sub-07" "e152011" 9.49696969985962 10.0225355001166 9.38609710009769 9.73739509982988
"8" "sub-08" "e152013" 11.4168475996703 10.1550927003846 9.52815879974514 9.93914869986475
"9" "sub-09" "e152014" 9.69876449927688 9.91631580051035 9.49116479977965 9.81790329981595
"10" "sub-10" "e152015" 9.52457020059228 9.96251880005002 9.50302890036255 9.72696939948946
"11" "sub-11" "e152016" 9.64453470008448 9.91495660040528 9.38373300014064 9.76788319973275
"12" "sub-12" "e152017" 9.62227010028437 9.96111640008166 9.34465370001271 9.6720789000392
"13" "sub-13" "e152018" 9.13315210025758 9.60373440012336 9.09332930017263 9.52011220017448
"14" "sub-14" "e152019" 9.59843820007518 9.84840969974175 9.4172054999508 9.73352980008349
"15" "sub-15" "e152020" 9.21915839985013 9.70313799986616 9.09969349997118 9.41879720008001
"16" "sub-16" "e152021" 9.25788540020585 9.77637830004096 9.33409360004589 9.66549749998376
"17" "sub-17" "e152022" 9.7410265 9.93683070000009 9.37266989999989 9.78741889999992
"18" "sub-18" "e152023" 9.69103180000093 9.89458970003761 9.52654009999242 9.96466400002828
"19" "sub-19" "e152024" 9.05173429998104 9.54490089998581 9.17168650001986 9.41959800000768
"20" "sub-20" "e152025" 9.70267060003243 9.89881889999378 9.38521570002194 9.72923100006301
"21" "sub-21" "e152026" 9.07007880008314 9.56691900000442 9.07973820006009 9.37734580005053
"22" "sub-22" "e152027" 9.88266510004178 10.1008824999444 9.57517619989812 9.77897199988365
"23" "sub-23" "e152028" 9.83470029989257 10.177899800241 9.56092469999567 9.91380720026791
"24" "sub-24" "e152029" 9.27930900035426 9.69621440023184 9.22900089994073 9.48232810012996
"25" "sub-25" "e152030" 9.61616089986637 9.86794270016253 9.41374039975926 9.81328280037269
"26" "sub-26" "e152031" 8.49721040017903 8.77108080033213 8.26112819928676 8.53269070014358
"27" "sub-27" "e152032" 7.920120799914 8.43944150023162 8.00575899984688 8.2622394002974
"28" "sub-28" "e152033" 8.34352649998618 8.76129379999475 8.58439360000193 8.56684559999849
"29" "sub-29" "e152034" 8.37648339988664 8.56633679987863 8.13334140041843 8.4130267999135
"30" "sub-30" "e152035" 8.53730919999998 8.99654469999996 8.31804839999995 8.66943739999988
"31" "sub-31" "e152036" 8.83123040001374 9.00938800000586 8.19624880002812 8.79914150002878
"32" "sub-32" "e152037" 8.45906340004876 9.31529810000211 8.37977110000793 8.77022509998642
"33" "sub-33" "e152038" 8.69430789991748 8.79909230000339 8.22944419994019 8.73346539994236
"34" "sub-34" "e152039" 8.13779020006768 8.8518105999101 8.17094330000691 8.54667739989236
"35" "sub-35" "e152040" 8.41028940002434 8.39227439998649 7.89337889989838 8.1630434000399
"36" "sub-36" "e152041" 8.81410320000001 9.15360079999994 8.49482499999999 8.98791440000014
"37" "sub-37" "e152042" 8.78628320002463 8.71894080005586 8.15526819997467 8.45186609996017
"38" "sub-38" "e152043" 8.650116099976 8.63627729984 8.11703429999761 8.42207479989156
"39" "sub-39" "e152044" 8.63421839987859 8.68980629974976 8.08011680003256 8.48574020015076
"40" "sub-40" "e152045" 8.01960659958422 8.53118639998138 8.06071959994733 8.32135620014742
"41" "sub-41" "e152046" 8.64841050002724 8.68647740036249 8.22834399994463 8.42649659980088
"42" "sub-42" "e152047" 7.99871860025451 8.51409129984677 7.99597080005333 8.33807609975338
"43" "sub-43" "e152049" 8.67976789997192 8.73200790002011 8.46550229995046 8.6250457999995
"44" "sub-44" "e152050" 8.82737850002013 8.66359310015105 8.23201320017688 8.48563520004973
"45" "sub-45" "e152051" 8.34148770011961 8.7661818000488 8.32810990000144 8.58849080000073
"46" "sub-46" "e152052" 8.80812039994635 8.80129539989866 8.1621151000727 8.52877889992669
"47" "sub-47" "e152053" 8.33606750005856 8.85727060027421 8.2734048999846 8.6022741002962
